BLOQUES,AREAS,ZONA,GRUPO SUMINISTRO,TOMA DE LUZ,PRODUCTO,DESCRIPCIÓN,DESPIECE,MONTAJE,TIPO MONTAJE,COSTE,FABRICANTE,PROVEEDOR,MARCA,REF./MODELO,UNDS.,PRECIO UND.,DTO.,PRECIO UND. CON DTO.,PRECIO TOTAL,POTENCIA UND.W.,POTENCIA TOTAL W.,ACCESORIO 1,REF./MODELO,UNDS.ACCES. 1,PRECIO ACCES. 1,POTENCIA ACCES.1,ACCESORIO 2,REF./MODELO,UNDS.ACCES. 2,PRECIO ACCES. 2,POTENCIA ACCES.2,ACCESORIO 3,REF./MODELO,UNDS.ACCES. 3,PRECIO ACCES. 3,POTENCIA ACCES.3,ACCESORIO 4,REF./MODELO,UNDS.ACCES. 4,PRECIO ACCES. 4,POTENCIA ACCES.4,PRECIO TOTAL ACCES.,REPUESTOS,REF./MODELO,UNDS.REPTOS.,PRECIO REPTOS.,PRECIO TOTAL REPTOS.,POTENCIA REPUESTOS,TOTAL PRECIO,TOTAL POTENCIA,FLUÍDOS
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Rótulo entrada principal,"Rótulo entrada principal, letras corpóreas iluminadas, aluminio con relieve de 130 mm., color gris oscuro (interior en blanco para una mejor iluminación), frentes de metacrilato Trued blanco, módulos led alta luminosidad, 3 armados independientes, (""HOSPITAL GERAL DO MOXICO""). Medidas altura letras: 380 mm. las altas y 290 mm. las bajas",,,1,"5.270,00€","0,00%","5.270,00€","5.270,00€",5º envío DENTALITE,,NKP434-051,1,"167,00€","40,72%","99,00€","99,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Felpudo césped cruz verde,"Liamaria felpudo, 80x80 vcol",IKEA,902-538-18,6,"10,74€","0,00%","10,74€","64,41€",DRÄGER MEDICAL,DRÄGER,MP00506,1,"656,00€","15,00%","557,60€","557,60€",,0,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,"0,00€",,"557,60€",0,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Moqueta roja,Moq/1 punzonado hit iberica rojo M2 (por m2),,12118960,18,"2,77€","0,00%","2,77€","49,86€","ANTONIO MATACHANA, S.A.",MATACHANA,94673,1,"11.780,00€","1,50%","11.603,30€","11.603,30€",,0,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,"0,00€",,"11.603,30€",0,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Rótulo monolito,"Letras corpóreas iluminadas (""HGM""), en aluminio con relieve de 150 mm., lacadas al horno con pintura poliuretano bicomponente en color gris oscuro (el interior en blanco para una mejor iluminación), frentes de metacrilato Truled blanco, iluminación módulos led de alta luminosidad, sujetas a base plataforma hueca de aluminio, 1500x200x700 mm.",,,1,"1.416,00€","0,00%","1.416,00€","1.416,00€",GRUPO SELECTA,SELECTA,3473100,1,"826,51€","25,00%","619,88€","619,88€",1.050,1.050,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,"0,00€",,"619,88€",1.050,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Valla exterior plano general,"Rótulo exterior con estructura soporte para plano general, armado de tubo cuadrado de acero de 30x30x2 mm., con pletinas de anclaje en las 4 patas para su fijación a suelo. Panel composite de 3 mm. de espesor, en 2 piezas, impreso digitalmente y laminado con vinilo transparente de protección, 1834x500x1500 mm.",,,3,"1.167,00€","0,00%","1.167,00€","3.501,00€",GIRBAU,GIRBAU,ED660 PC-G,1,"6.197,86€","30,00%","4.338,50€","4.338,50€",,,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,#REF!,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Placa de agradecimientos,Placa de agradecimientos,,,1,,"0,00%","0,00€","0,00€","""REPUESTOS"" GIRBAU",GIRBAU,ED660 PC-G,1,"6.197,86€","30,00%","4.338,50€","4.338,50€",1.100,1.100,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,#REF!,,,1.100,,
A,DE ENTRADA,CONSIGNA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DE CACIFOS"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",GIRBAU,GIRBAU,HS-6017 LC-E,1,"9.449,29€","30,00%","6.614,50€","6.614,50€",12.500,12.500,,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,#REF!,,#REF!,12.500,
A,DE ENTRADA,CONSIGNA,Fuente alimentación intercomunicador,Fuente de alimentación de superficie NX0020,EIS,I 90004,1,"21,91€","0,00%","21,91€","21,91€",GIRBAU,GIRBAU,PB-5132 P-G,1,"29.656,57€","30,00%","20.759,60€","20.759,60€",1.300,1.300,,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,#REF!,,#REF!,1.300,
A,DE ENTRADA,CONSIGNA,Intercomunicador,Terminal de habitación de superficie con RFID NX0010,EIS,I 90001,1,"281,38€","0,00%","281,38€","281,38€",2130190,5,"39,00€","0,00%","39,00€","195,00€",,0,,,,,,,,,,,,,,,,,,,"0,00€",,,,,"0,00€",,"195,00€",0,,,,,
A,DE ENTRADA,CONSIGNA,Consigna inicial,MM/Consigna 400 inicial,,6904004I,8,"85,42€","0,00%","85,42€","683,33€",I EIS-81594,12,"27,03€","0,00%","27,03€","324,31€",,0,,,,,,,,,,,,,,,,,,,,,"0,00€",,,,,"0,00€",,"324,31€",0,,,
