BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Rótulo entrada principal,"Rótulo entrada principal, letras corpóreas iluminadas, aluminio con relieve de 130 mm., color gris oscuro (interior en blanco para una mejor iluminación), frentes de metacrilato Trued blanco, módulos led alta luminosidad, 3 armados independientes, (""HOSPITAL GERAL DO MOXICO""). Medidas altura letras: 380 mm. las altas y 290 mm. las bajas",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Felpudo césped cruz verde,"Liamaria felpudo, 80x80 vcol",5º envío IKEA,902-538-18,6 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Moqueta roja,Moq/1 punzonado hit iberica rojo M2 (por m2),5º envío LEROY MERLIN,12118960,18 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Rótulo monolito,"Letras corpóreas iluminadas (""HGM""), en aluminio con relieve de 150 mm., lacadas al horno con pintura poliuretano bicomponente en color gris oscuro (el interior en blanco para una mejor iluminación), frentes de metacrilato Truled blanco, iluminación módulos led de alta luminosidad, sujetas a base plataforma hueca de aluminio, 1500x200x700 mm.",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Valla exterior plano general,"Rótulo exterior con estructura soporte para plano general, armado de tubo cuadrado de acero de 30x30x2 mm., con pletinas de anclaje en las 4 patas para su fijación a suelo. Panel composite de 3 mm. de espesor, en 2 piezas, impreso digitalmente y laminado con vinilo transparente de protección, 1834x500x1500 mm.",pte. PEDIR Y PAGAR 5º envío RÓTULOS ARCEGA,,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Placa de agradecimientos,Placa de agradecimientos,pte. PEDIR Y PAGAR 5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,CONSIGNA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DE CACIFOS"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,CONSIGNA,Fuente alimentación intercomunicador,Fuente de alimentación de superficie NX0020,5º envío INYCOM,I 90004,1 
A,DE ENTRADA,CONSIGNA,Intercomunicador,Terminal de habitación de superficie con RFID NX0010,5º envío INYCOM,I 90001,1 
A,DE ENTRADA,CONSIGNA,Consigna inicial,MM/Consigna 400 inicial,5º envío JOMASI.,6904004I,8 
