"PRODUCTO"|"DESCRIPCION"|NA|"BLOQUE"|"AREA"|"ZONA"|"REVISION"|"ACCION"|"OBSERVACION"|"PROVEEDOR"|"REFERENCIA"|"UNIDADES"
"2156"|"Aspirador de bajo vacío"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA POSTANESTESIA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"HERSILL"|"5352207"|"3 "
"2498"|"Aspirador de bajo vacío"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"HERSILL"|"5352207"|"10 "
"5039"|"Aspirador de bajo vacío"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"HERSILL"|"5352207"|"5 "
"601"|"Aspirador de secreciones"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"859"|"Aspirador de secreciones"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"2032"|"Aspirador de secreciones"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"2082"|"Aspirador de secreciones"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 2"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"2548"|"Aspirador de secreciones"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"REPUESTOS DRÄGER MEDICAL"|"MP00506"|"1 "
"2549"|"Aspirador de secreciones"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"2640"|"Aspirador de secreciones"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"QUEMADOS"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"DRÄGER MEDICAL"|"MP00506"|"1 "
"602"|"Aspirador de secreciones portátil"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"860"|"Aspirador de secreciones portátil"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
